save model time:1911_171250 step:90000, var:0.4491491486100748 collision_cnt 188
save model time:1911_171254 step:95000, var:0.427233198057808 collision_cnt 199
save model time:1911_171258 step:100000, var:0.4063866225452039 collision_cnt 209
save model time:1911_171303 step:105000, var:0.3865572425889805 collision_cnt 222
save model time:1911_171307 step:110000, var:0.3676954247709635 collision_cnt 230
save model time:1911_171311 step:115000, var:0.349753957504439 collision_cnt 238
save model time:1911_171316 step:120000, var:0.33268793286240766 collision_cnt 246
save model time:1911_171320 step:125000, var:0.31645463417195824 collision_cnt 255
save model time:1911_171325 step:130000, var:0.3010134290933992 collision_cnt 266
save model time:1911_171329 step:135000, var:0.28632566791652947 collision_cnt 285
save model time:1911_171333 step:140000, var:0.27235458681947705 collision_cnt 294
save model time:1911_171338 step:145000, var:0.25906521584796366 collision_cnt 302
save model time:1911_171342 step:150000, var:0.24642429138466176 collision_cnt 310
save model time:1911_171346 step:155000, var:0.23440017288955545 collision_cnt 314
save model time:1911_171351 step:160000, var:0.22296276370290227 collision_cnt 333
save model time:1911_171355 step:165000, var:0.21208343571256533 collision_cnt 348
save model time:1911_171400 step:170000, var:0.20173495769715546 collision_cnt 358
save model time:1911_171404 step:175000, var:0.19189142716562432 collision_cnt 371
save model time:1911_171408 step:180000, var:0.18252820552270246 collision_cnt 388
save model time:1911_171413 step:185000, var:0.17362185639789907 collision_cnt 398
save model time:1911_171417 step:190000, var:0.1651500869836984 collision_cnt 409
save model time:1911_171422 step:195000, var:0.1570916922361232 collision_cnt 417
save model time:1911_171426 step:200000, var:0.14942650179799613 collision_cnt 433
save model time:1911_171430 step:205000, var:0.14213532951204774 collision_cnt 444
save model time:1911_171435 step:210000, var:0.1351999253974994 collision_cnt 457
save model time:1911_171439 step:215000, var:0.12860292996992018 collision_cnt 470
save model time:1911_171443 step:220000, var:0.12232783079001676 collision_cnt 484
save model time:1911_171448 step:225000, var:0.11635892113259806 collision_cnt 484
save model time:1911_171452 step:230000, var:0.11068126067226178 collision_cnt 484
save model time:1911_171457 step:235000, var:0.10528063808739813 collision_cnt 484
save model time:1911_171501 step:240000, var:0.10014353548890782 collision_cnt 484
save model time:1911_171505 step:245000, var:0.09525709458459826 collision_cnt 485
save model time:1911_171510 step:250000, var:0.09060908449456685 collision_cnt 485
save model time:1911_171514 step:255000, var:0.08618787113701235 collision_cnt 486
save model time:1911_171519 step:260000, var:0.08198238810784661 collision_cnt 487
save model time:1911_171523 step:265000, var:0.07798210898121705 collision_cnt 488
save model time:1911_171528 step:270000, var:0.07417702096160789 collision_cnt 488
save model time:1911_171532 step:275000, var:0.0705575998215706 collision_cnt 488
save model time:1911_171537 step:280000, var:0.06711478606235186 collision_cnt 488
save model time:1911_171542 step:285000, var:0.06383996223774882 collision_cnt 488
save model time:1911_171546 step:290000, var:0.06072493138443261 collision_cnt 488
save model time:1911_171551 step:295000, var:0.05776189650475085 collision_cnt 488
