save model time:1911_181858 step:295000, var:0.6376278646964412 collision_cnt 161
save model time:1911_181916 step:320000, var:0.6065303564550752 collision_cnt 179
save model time:1911_181933 step:345000, var:0.576949493066239 collision_cnt 194
save model time:1911_181951 step:370000, var:0.5488113068155073 collision_cnt 222
save model time:1911_182007 step:395000, var:0.5220454374400038 collision_cnt 245
save model time:1911_182020 step:420000, var:0.49658495619065296 collision_cnt 270
save model time:1911_182031 step:445000, var:0.4723661984752395 collision_cnt 292
save model time:1911_182043 step:470000, var:0.44932860466333335 collision_cnt 310
save model time:1911_182055 step:495000, var:0.42741456865542965 collision_cnt 330
save model time:1911_182107 step:520000, var:0.4065692938373803 collision_cnt 359
save model time:1911_182118 step:545000, var:0.38674065606005115 collision_cnt 379
save model time:1911_182130 step:570000, var:0.3678790733015422 collision_cnt 396
save model time:1911_182142 step:595000, var:0.3499373816860565 collision_cnt 420
save model time:1911_182153 step:620000, var:0.33287071754939995 collision_cnt 447
save model time:1911_182206 step:645000, var:0.31663640525624126 collision_cnt 478
save model time:1911_182220 step:670000, var:0.30119385048855674 collision_cnt 502
save model time:1911_182234 step:695000, var:0.2865044387385254 collision_cnt 531
save model time:1911_182248 step:720000, var:0.27253143875192376 collision_cnt 549
save model time:1911_182303 step:745000, var:0.25923991068067975 collision_cnt 568
save model time:1911_182317 step:770000, var:0.24659661871488162 collision_cnt 588
save model time:1911_182331 step:795000, var:0.23456994797578212 collision_cnt 612
save model time:1911_182345 step:820000, var:0.22312982546195662 collision_cnt 631
save model time:1911_182359 step:845000, var:0.21224764485100842 collision_cnt 651
save model time:1911_190014 step:870000, var:0.2018961949687037 collision_cnt 673
save model time:1911_190028 step:895000, var:0.19204959174672814 collision_cnt 691
save model time:1911_190042 step:920000, var:0.18268321349890962 collision_cnt 716
save model time:1911_190057 step:945000, var:0.17377363935404774 collision_cnt 738
save model time:1911_190110 step:970000, var:0.1652985906914241 collision_cnt 757
save model time:1911_190122 step:995000, var:0.1572368754325395 collision_cnt 779
save model time:1911_190136 step:1020000, var:0.14956833504975645 collision_cnt 800
save model time:1911_190148 step:1045000, var:0.1422737941594015 collision_cnt 821
save model time:1911_190200 step:1070000, var:0.1353350125732031 collision_cnt 838
save model time:1911_190214 step:1095000, var:0.12873463968823684 collision_cnt 861
save model time:1911_190226 step:1120000, var:0.12245617110129696 collision_cnt 878
save model time:1911_190240 step:1145000, var:0.11648390733919989 collision_cnt 901
save model time:1911_190253 step:1170000, var:0.11080291460185661 collision_cnt 927
save model time:1911_190306 step:1195000, var:0.10539898741990948 collision_cnt 944
save model time:1911_190320 step:1220000, var:0.10025861313359509 collision_cnt 965
save model time:1911_190334 step:1245000, var:0.09536893810398496 collision_cnt 997
save model time:1911_190346 step:1270000, var:0.09071773557212548 collision_cnt 1021
save model time:1911_190359 step:1295000, var:0.08629337508572267 collision_cnt 1042
save model time:1911_190412 step:1320000, var:0.08208479341688024 collision_cnt 1064
save model time:1911_190425 step:1345000, var:0.07999984949170375 collision_cnt 1084
save model time:1911_190437 step:1370000, var:0.07999984949170375 collision_cnt 1105
save model time:1911_190449 step:1395000, var:0.07999984949170375 collision_cnt 1128
save model time:1911_190502 step:1420000, var:0.07999984949170375 collision_cnt 1141
save model time:1911_190516 step:1445000, var:0.07999984949170375 collision_cnt 1160
save model time:1911_190529 step:1470000, var:0.07999984949170375 collision_cnt 1182
save model time:1911_190541 step:1495000, var:0.07999984949170375 collision_cnt 1204
save model time:1911_190553 step:1520000, var:0.07999984949170375 collision_cnt 1227
save model time:1911_190607 step:1545000, var:0.07999984949170375 collision_cnt 1248
save model time:1911_190619 step:1570000, var:0.07999984949170375 collision_cnt 1265
save model time:1911_190633 step:1595000, var:0.07999984949170375 collision_cnt 1287
save model time:1911_190647 step:1620000, var:0.07999984949170375 collision_cnt 1304
save model time:1911_190659 step:1645000, var:0.07999984949170375 collision_cnt 1322
save model time:1911_190713 step:1670000, var:0.07999984949170375 collision_cnt 1347
save model time:1911_190725 step:1695000, var:0.07999984949170375 collision_cnt 1376
save model time:1911_190736 step:1720000, var:0.07999984949170375 collision_cnt 1397
save model time:1911_190748 step:1745000, var:0.07999984949170375 collision_cnt 1427
save model time:1911_190759 step:1770000, var:0.07999984949170375 collision_cnt 1451
save model time:1911_190810 step:1795000, var:0.07999984949170375 collision_cnt 1470
save model time:1911_190822 step:1820000, var:0.07999984949170375 collision_cnt 1498
save model time:1911_190833 step:1845000, var:0.07999984949170375 collision_cnt 1522
save model time:1911_190844 step:1870000, var:0.07999984949170375 collision_cnt 1546
