save model time:1911_181130 step:79000, var:0.9821610146798473 collision_cnt 11
save model time:1911_181130 step:79500, var:0.9811793436008676 collision_cnt 11
save model time:1911_181130 step:80000, var:0.9801986537032756 collision_cnt 11
save model time:1911_181131 step:80500, var:0.9792189440063784 collision_cnt 11
save model time:1911_181131 step:81000, var:0.9782402135304674 collision_cnt 12
save model time:1911_181131 step:81500, var:0.9772624612968065 collision_cnt 12
save model time:1911_181131 step:82000, var:0.9762856863276427 collision_cnt 12
save model time:1911_181132 step:82500, var:0.9753098876462001 collision_cnt 14
save model time:1911_181132 step:83000, var:0.9743350642766763 collision_cnt 15
save model time:1911_181132 step:83500, var:0.9733612152442471 collision_cnt 17
save model time:1911_181132 step:84000, var:0.9723883395750601 collision_cnt 17
save model time:1911_181132 step:84500, var:0.9714164362962379 collision_cnt 17
save model time:1911_181133 step:85000, var:0.9704455044358765 collision_cnt 17
save model time:1911_181133 step:85500, var:0.9694755430230427 collision_cnt 17
save model time:1911_181133 step:86000, var:0.9685065510877692 collision_cnt 17
save model time:1911_181133 step:86500, var:0.9675385276610655 collision_cnt 17
save model time:1911_181133 step:87000, var:0.9665714717749044 collision_cnt 18
save model time:1911_181134 step:87500, var:0.9656053824622305 collision_cnt 19
save model time:1911_181134 step:88000, var:0.9646402587569505 collision_cnt 19
save model time:1911_181134 step:88500, var:0.9636760996939393 collision_cnt 20
save model time:1911_181134 step:89000, var:0.9627129043090351 collision_cnt 20
save model time:1911_181134 step:89500, var:0.9617506716390388 collision_cnt 20
save model time:1911_181135 step:90000, var:0.9607894007217197 collision_cnt 20
save model time:1911_181135 step:90500, var:0.9598290905958018 collision_cnt 20
save model time:1911_181135 step:91000, var:0.9588697403009738 collision_cnt 21
save model time:1911_181135 step:91500, var:0.9579113488778849 collision_cnt 21
save model time:1911_181136 step:92000, var:0.9569539153681403 collision_cnt 22
save model time:1911_181136 step:92500, var:0.9559974388143041 collision_cnt 22
save model time:1911_181136 step:93000, var:0.9550419182598983 collision_cnt 23
save model time:1911_181136 step:93500, var:0.9540873527494009 collision_cnt 24
save model time:1911_181136 step:94000, var:0.9531337413282435 collision_cnt 24
save model time:1911_181137 step:94500, var:0.9521810830428133 collision_cnt 24
save model time:1911_181137 step:95000, var:0.9512293769404494 collision_cnt 24
save model time:1911_181137 step:95500, var:0.9502786220694442 collision_cnt 24
save model time:1911_181137 step:96000, var:0.9493288174790409 collision_cnt 24
save model time:1911_181138 step:96500, var:0.9483799622194333 collision_cnt 25
save model time:1911_181138 step:97000, var:0.947432055341764 collision_cnt 26
save model time:1911_181138 step:97500, var:0.9464850958981238 collision_cnt 26
save model time:1911_181138 step:98000, var:0.9455390829415505 collision_cnt 26
save model time:1911_181138 step:98500, var:0.9445940155260303 collision_cnt 28
save model time:1911_181139 step:99000, var:0.9436498927064927 collision_cnt 28
save model time:1911_181139 step:99500, var:0.9427067135388143 collision_cnt 28
save model time:1911_181139 step:100000, var:0.9417644770798123 collision_cnt 28
save model time:1911_181139 step:100500, var:0.9408231823872487 collision_cnt 28
save model time:1911_181139 step:101000, var:0.9398828285198282 collision_cnt 28
save model time:1911_181140 step:101500, var:0.9389434145371958 collision_cnt 29
save model time:1911_181140 step:102000, var:0.9380049394999318 collision_cnt 29
save model time:1911_181140 step:102500, var:0.9370674024695628 collision_cnt 30
save model time:1911_181140 step:103000, var:0.9361308025085491 collision_cnt 30
save model time:1911_181140 step:103500, var:0.9351951386802871 collision_cnt 31
save model time:1911_181141 step:104000, var:0.9342604100491112 collision_cnt 31
save model time:1911_181141 step:104500, var:0.9333266156802927 collision_cnt 32
save model time:1911_181141 step:105000, var:0.932393754640034 collision_cnt 32
save model time:1911_181141 step:105500, var:0.9314618259954737 collision_cnt 32
save model time:1911_181142 step:106000, var:0.930530828814679 collision_cnt 32
save model time:1911_181142 step:106500, var:0.9296007621666521 collision_cnt 33
save model time:1911_181142 step:107000, var:0.9286716251213232 collision_cnt 33
save model time:1911_181142 step:107500, var:0.9277434167495545 collision_cnt 33
save model time:1911_181142 step:108000, var:0.926816136123136 collision_cnt 33
save model time:1911_181143 step:108500, var:0.9258897823147829 collision_cnt 33
save model time:1911_181143 step:109000, var:0.924964354398142 collision_cnt 33
save model time:1911_181143 step:109500, var:0.9240398514477827 collision_cnt 34
save model time:1911_181143 step:110000, var:0.9231162725391993 collision_cnt 35
save model time:1911_181143 step:110500, var:0.9221936167488114 collision_cnt 35
save model time:1911_181144 step:111000, var:0.9212718831539625 collision_cnt 35
save model time:1911_181144 step:111500, var:0.920351070832916 collision_cnt 35
save model time:1911_181144 step:112000, var:0.9194311788648566 collision_cnt 35
save model time:1911_181144 step:112500, var:0.9185122063298912 collision_cnt 35
save model time:1911_181145 step:113000, var:0.9175941523090464 collision_cnt 35
save model time:1911_181145 step:113500, var:0.9166770158842654 collision_cnt 35
save model time:1911_181145 step:114000, var:0.915760796138409 collision_cnt 35
save model time:1911_181145 step:114500, var:0.9148454921552581 collision_cnt 35
save model time:1911_181145 step:115000, var:0.9139311030195049 collision_cnt 35
save model time:1911_181146 step:115500, var:0.9130176278167587 collision_cnt 36
save model time:1911_181146 step:116000, var:0.9121050656335429 collision_cnt 36
save model time:1911_181146 step:116500, var:0.9111934155572925 collision_cnt 36
save model time:1911_181146 step:117000, var:0.910282676676356 collision_cnt 36
save model time:1911_181146 step:117500, var:0.9093728480799919 collision_cnt 37
save model time:1911_181147 step:118000, var:0.908463928858371 collision_cnt 37
save model time:1911_181147 step:118500, var:0.9075559181025713 collision_cnt 38
save model time:1911_181147 step:119000, var:0.9066488149045802 collision_cnt 39
save model time:1911_181147 step:119500, var:0.9057426183572915 collision_cnt 39
save model time:1911_181148 step:120000, var:0.9048373275545095 collision_cnt 40
save model time:1911_181148 step:120500, var:0.9039329415909407 collision_cnt 40
save model time:1911_181148 step:121000, var:0.9030294595621965 collision_cnt 40
save model time:1911_181148 step:121500, var:0.9021268805647931 collision_cnt 40
save model time:1911_181148 step:122000, var:0.9012252036961504 collision_cnt 40
save model time:1911_181149 step:122500, var:0.9003244280545877 collision_cnt 40
save model time:1911_181149 step:123000, var:0.8994245527393285 collision_cnt 40
save model time:1911_181149 step:123500, var:0.8985255768504969 collision_cnt 41
save model time:1911_181149 step:124000, var:0.897627499489114 collision_cnt 43
save model time:1911_181149 step:124500, var:0.8967303197571007 collision_cnt 43
save model time:1911_181150 step:125000, var:0.8958340367572738 collision_cnt 43
save model time:1911_181150 step:125500, var:0.8949386495933503 collision_cnt 43
save model time:1911_181150 step:126000, var:0.8940441573699422 collision_cnt 43
save model time:1911_181150 step:126500, var:0.8931505591925536 collision_cnt 43
save model time:1911_181150 step:127000, var:0.8922578541675839 collision_cnt 43
save model time:1911_181151 step:127500, var:0.891366041402327 collision_cnt 43
save model time:1911_181151 step:128000, var:0.8904751200049684 collision_cnt 43
save model time:1911_181151 step:128500, var:0.889585089084585 collision_cnt 43
save model time:1911_181151 step:129000, var:0.8886959477511446 collision_cnt 44
save model time:1911_181152 step:129500, var:0.887807695115503 collision_cnt 45
save model time:1911_181152 step:130000, var:0.8869203302894062 collision_cnt 47
save model time:1911_181152 step:130500, var:0.8860338523854878 collision_cnt 47
save model time:1911_181152 step:131000, var:0.8851482605172672 collision_cnt 47
save model time:1911_181152 step:131500, var:0.8842635537991513 collision_cnt 47
save model time:1911_181153 step:132000, var:0.8833797313464318 collision_cnt 49
save model time:1911_181153 step:132500, var:0.8824967922752843 collision_cnt 49
save model time:1911_181153 step:133000, var:0.8816147357027645 collision_cnt 49
save model time:1911_181153 step:133500, var:0.8807335607468196 collision_cnt 49
save model time:1911_181153 step:134000, var:0.8798532665262702 collision_cnt 49
save model time:1911_181154 step:134500, var:0.8789738521608191 collision_cnt 49
save model time:1911_181154 step:135000, var:0.8780953167710521 collision_cnt 49
save model time:1911_181154 step:135500, var:0.8772176594784323 collision_cnt 49
save model time:1911_181154 step:136000, var:0.8763408794052986 collision_cnt 49
save model time:1911_181155 step:136500, var:0.875464975674871 collision_cnt 49
save model time:1911_181155 step:137000, var:0.8745899474112417 collision_cnt 49
save model time:1911_181155 step:137500, var:0.8737157937393828 collision_cnt 49
save model time:1911_181155 step:138000, var:0.8728425137851378 collision_cnt 50
save model time:1911_181155 step:138500, var:0.8719701066752249 collision_cnt 50
save model time:1911_181156 step:139000, var:0.8710985715372339 collision_cnt 50
save model time:1911_181156 step:139500, var:0.8702279074996306 collision_cnt 50
save model time:1911_181156 step:140000, var:0.8693581136917458 collision_cnt 50
save model time:1911_181156 step:140500, var:0.8684891892437859 collision_cnt 50
save model time:1911_181157 step:141000, var:0.8676211332868258 collision_cnt 51
save model time:1911_181157 step:141500, var:0.8667539449528036 collision_cnt 52
save model time:1911_181157 step:142000, var:0.8658876233745347 collision_cnt 53
save model time:1911_181157 step:142500, var:0.8650221676856927 collision_cnt 55
save model time:1911_181157 step:143000, var:0.86415757702082 collision_cnt 55
save model time:1911_181157 step:143500, var:0.863293850515325 collision_cnt 55
save model time:1911_181158 step:144000, var:0.8624309873054783 collision_cnt 56
save model time:1911_181158 step:144500, var:0.8615689865284156 collision_cnt 56
save model time:1911_181158 step:145000, var:0.8607078473221349 collision_cnt 56
save model time:1911_181158 step:145500, var:0.8598475688254958 collision_cnt 56
save model time:1911_181158 step:146000, var:0.8589881501782174 collision_cnt 56
save model time:1911_181159 step:146500, var:0.8581295905208765 collision_cnt 56
save model time:1911_181159 step:147000, var:0.8572718889949151 collision_cnt 56
save model time:1911_181159 step:147500, var:0.8564150447426276 collision_cnt 58
save model time:1911_181159 step:148000, var:0.8555590569071688 collision_cnt 58
save model time:1911_181200 step:148500, var:0.8547039246325491 collision_cnt 58
save model time:1911_181200 step:149000, var:0.8538496470636351 collision_cnt 58
save model time:1911_181200 step:149500, var:0.8529962233461474 collision_cnt 60
save model time:1911_181200 step:150000, var:0.8521436526266607 collision_cnt 60
save model time:1911_181200 step:150500, var:0.8512919340526016 collision_cnt 60
save model time:1911_181201 step:151000, var:0.8504410667722513 collision_cnt 60
save model time:1911_181201 step:151500, var:0.8495910499347388 collision_cnt 60
save model time:1911_181201 step:152000, var:0.8487418826900448 collision_cnt 61
save model time:1911_181201 step:152500, var:0.847893564189003 collision_cnt 62
save model time:1911_181201 step:153000, var:0.8470460935832912 collision_cnt 62
save model time:1911_181202 step:153500, var:0.846199470025437 collision_cnt 63
save model time:1911_181202 step:154000, var:0.845353692668816 collision_cnt 63
save model time:1911_181202 step:154500, var:0.8445087606676496 collision_cnt 64
save model time:1911_181202 step:155000, var:0.8436646731770037 collision_cnt 65
save model time:1911_181202 step:155500, var:0.8428214293527864 collision_cnt 66
save model time:1911_181203 step:156000, var:0.841979028351756 collision_cnt 66
save model time:1911_181203 step:156500, var:0.8411374693315068 collision_cnt 66
save model time:1911_181203 step:157000, var:0.8402967514504799 collision_cnt 67
save model time:1911_181203 step:157500, var:0.8394568738679542 collision_cnt 67
save model time:1911_181203 step:158000, var:0.8386178357440527 collision_cnt 68
save model time:1911_181204 step:158500, var:0.8377796362397338 collision_cnt 69
save model time:1911_181204 step:159000, var:0.8369422745167964 collision_cnt 69
save model time:1911_181204 step:159500, var:0.8361057497378772 collision_cnt 69
save model time:1911_181204 step:160000, var:0.8352700610664485 collision_cnt 69
save model time:1911_181204 step:160500, var:0.8344352076668221 collision_cnt 70
save model time:1911_181205 step:161000, var:0.8336011887041422 collision_cnt 70
save model time:1911_181205 step:161500, var:0.8327680033443876 collision_cnt 71
save model time:1911_181205 step:162000, var:0.8319356507543706 collision_cnt 72
save model time:1911_181205 step:162500, var:0.8311041301017367 collision_cnt 72
save model time:1911_181205 step:163000, var:0.8302734405549648 collision_cnt 72
save model time:1911_181206 step:163500, var:0.8294435812833634 collision_cnt 72
save model time:1911_181206 step:164000, var:0.8286145514570714 collision_cnt 73
save model time:1911_181206 step:164500, var:0.8277863502470576 collision_cnt 73
save model time:1911_181206 step:165000, var:0.8269589768251175 collision_cnt 76
save model time:1911_181206 step:165500, var:0.8261324303638783 collision_cnt 77
save model time:1911_181206 step:166000, var:0.8253067100367888 collision_cnt 78
save model time:1911_181207 step:166500, var:0.8244818150181293 collision_cnt 79
save model time:1911_181207 step:167000, var:0.823657744483002 collision_cnt 81
save model time:1911_181207 step:167500, var:0.8228344976073364 collision_cnt 81
save model time:1911_181207 step:168000, var:0.8220120735678831 collision_cnt 82
save model time:1911_181207 step:168500, var:0.8211904715422138 collision_cnt 83
save model time:1911_181208 step:169000, var:0.8203696907087279 collision_cnt 83
save model time:1911_181208 step:169500, var:0.8195497302466412 collision_cnt 83
save model time:1911_181208 step:170000, var:0.8187305893359925 collision_cnt 83
save model time:1911_181208 step:170500, var:0.8179122671576395 collision_cnt 85
save model time:1911_181208 step:171000, var:0.817094762893256 collision_cnt 85
save model time:1911_181209 step:171500, var:0.8162780757253384 collision_cnt 85
save model time:1911_181209 step:172000, var:0.8154622048371963 collision_cnt 86
save model time:1911_181209 step:172500, var:0.8146471494129583 collision_cnt 86
save model time:1911_181209 step:173000, var:0.8138329086375662 collision_cnt 87
save model time:1911_181209 step:173500, var:0.8130194816967793 collision_cnt 88
save model time:1911_181210 step:174000, var:0.8122068677771671 collision_cnt 88
save model time:1911_181210 step:174500, var:0.8113950660661153 collision_cnt 88
save model time:1911_181210 step:175000, var:0.8105840757518198 collision_cnt 88
save model time:1911_181210 step:175500, var:0.8097738960232891 collision_cnt 90
save model time:1911_181210 step:176000, var:0.8089645260703402 collision_cnt 91
save model time:1911_181211 step:176500, var:0.8081559650836028 collision_cnt 91
save model time:1911_181211 step:177000, var:0.8073482122545155 collision_cnt 91
save model time:1911_181211 step:177500, var:0.8065412667753222 collision_cnt 91
save model time:1911_181211 step:178000, var:0.8057351278390767 collision_cnt 92
save model time:1911_181211 step:178500, var:0.8049297946396362 collision_cnt 92
save model time:1911_181212 step:179000, var:0.804125266371667 collision_cnt 92
save model time:1911_181212 step:179500, var:0.8033215422306396 collision_cnt 92
save model time:1911_181212 step:180000, var:0.8025186214128286 collision_cnt 93
save model time:1911_181212 step:180500, var:0.8017165031153113 collision_cnt 93
save model time:1911_181212 step:181000, var:0.8009151865359677 collision_cnt 94
save model time:1911_181213 step:181500, var:0.8001146708734798 collision_cnt 96
save model time:1911_181213 step:182000, var:0.7993149553273282 collision_cnt 97
save model time:1911_181213 step:182500, var:0.7985160390977969 collision_cnt 97
save model time:1911_181213 step:183000, var:0.7977179213859685 collision_cnt 97
save model time:1911_181213 step:183500, var:0.7969206013937247 collision_cnt 97
save model time:1911_181214 step:184000, var:0.7961240783237412 collision_cnt 97
save model time:1911_181214 step:184500, var:0.7953283513794938 collision_cnt 97
save model time:1911_181214 step:185000, var:0.7945334197652552 collision_cnt 98
save model time:1911_181214 step:185500, var:0.7937392826860916 collision_cnt 98
save model time:1911_181214 step:186000, var:0.7929459393478636 collision_cnt 99
save model time:1911_181215 step:186500, var:0.7921533889572284 collision_cnt 99
save model time:1911_181215 step:187000, var:0.7913616307216321 collision_cnt 99
save model time:1911_181215 step:187500, var:0.7905706638493141 collision_cnt 100
save model time:1911_181215 step:188000, var:0.7897804875493075 collision_cnt 100
save model time:1911_181215 step:188500, var:0.7889911010314345 collision_cnt 101
save model time:1911_181216 step:189000, var:0.7882025035063054 collision_cnt 101
save model time:1911_181216 step:189500, var:0.7874146941853207 collision_cnt 101
save model time:1911_181216 step:190000, var:0.786627672280671 collision_cnt 101
save model time:1911_181216 step:190500, var:0.785841437005335 collision_cnt 101
save model time:1911_181216 step:191000, var:0.7850559875730708 collision_cnt 101
save model time:1911_181217 step:191500, var:0.78427132319843 collision_cnt 101
save model time:1911_181217 step:192000, var:0.783487443096748 collision_cnt 101
save model time:1911_181217 step:192500, var:0.7827043464841409 collision_cnt 104
save model time:1911_181217 step:193000, var:0.7819220325775097 collision_cnt 104
save model time:1911_181217 step:193500, var:0.7811405005945413 collision_cnt 104
save model time:1911_181218 step:194000, var:0.7803597497536996 collision_cnt 104
save model time:1911_181218 step:194500, var:0.7795797792742333 collision_cnt 104
save model time:1911_181218 step:195000, var:0.7788005883761695 collision_cnt 104
save model time:1911_181218 step:195500, var:0.7780221762803182 collision_cnt 104
save model time:1911_181218 step:196000, var:0.7772445422082647 collision_cnt 105
save model time:1911_181219 step:196500, var:0.7764676853823702 collision_cnt 105
save model time:1911_181219 step:197000, var:0.7756916050257804 collision_cnt 105
save model time:1911_181219 step:197500, var:0.7749163003624098 collision_cnt 105
save model time:1911_181219 step:198000, var:0.7741417706169543 collision_cnt 105
save model time:1911_181219 step:198500, var:0.7733680150148832 collision_cnt 106
