save model time:1911_172328 step:780000, var:0.23692741751507662 collision_cnt 3
save model time:1911_172344 step:820000, var:0.2187115545188577 collision_cnt 3
save model time:1911_180000 step:860000, var:0.2018961949687037 collision_cnt 3
save model time:1911_180016 step:900000, var:0.18637366293936003 collision_cnt 3
save model time:1911_180032 step:940000, var:0.17204456103206126 collision_cnt 3
save model time:1911_180047 step:980000, var:0.15881713389056026 collision_cnt 3
save model time:1911_180103 step:1020000, var:0.14660668065241275 collision_cnt 3
save model time:1911_180119 step:1060000, var:0.1353350125732031 collision_cnt 3
save model time:1911_180135 step:1100000, var:0.12492995235062394 collision_cnt 3
save model time:1911_180151 step:1140000, var:0.11532487194240901 collision_cnt 3
save model time:1911_180207 step:1180000, var:0.10645826591853727 collision_cnt 3
save model time:1911_180224 step:1220000, var:0.09827335761570814 collision_cnt 3
save model time:1911_180240 step:1260000, var:0.09071773557212548 collision_cnt 3
save model time:1911_180256 step:1300000, var:0.08374301791453888 collision_cnt 3
save model time:1911_180312 step:1340000, var:0.07999984949170375 collision_cnt 3
save model time:1911_180328 step:1380000, var:0.07999984949170375 collision_cnt 3
save model time:1911_180344 step:1420000, var:0.07999984949170375 collision_cnt 3
save model time:1911_180359 step:1460000, var:0.07999984949170375 collision_cnt 3
save model time:1911_180415 step:1500000, var:0.07999984949170375 collision_cnt 3
save model time:1911_180431 step:1540000, var:0.07999984949170375 collision_cnt 3
save model time:1911_180448 step:1580000, var:0.07999984949170375 collision_cnt 3
save model time:1911_180504 step:1620000, var:0.07999984949170375 collision_cnt 3
save model time:1911_180521 step:1660000, var:0.07999984949170375 collision_cnt 3
save model time:1911_180537 step:1700000, var:0.07999984949170375 collision_cnt 3
save model time:1911_180554 step:1740000, var:0.07999984949170375 collision_cnt 3
save model time:1911_180610 step:1780000, var:0.07999984949170375 collision_cnt 3
save model time:1911_180626 step:1820000, var:0.07999984949170375 collision_cnt 3
save model time:1911_180643 step:1860000, var:0.07999984949170375 collision_cnt 3
save model time:1911_180659 step:1900000, var:0.07999984949170375 collision_cnt 3
save model time:1911_180716 step:1940000, var:0.07999984949170375 collision_cnt 3
save model time:1911_180732 step:1980000, var:0.07999984949170375 collision_cnt 3
save model time:1911_180749 step:2020000, var:0.07999984949170375 collision_cnt 3
save model time:1911_180805 step:2060000, var:0.07999984949170375 collision_cnt 3
save model time:1911_180822 step:2100000, var:0.07999984949170375 collision_cnt 3
save model time:1911_180838 step:2140000, var:0.07999984949170375 collision_cnt 3
save model time:1911_180854 step:2180000, var:0.07999984949170375 collision_cnt 4
save model time:1911_180911 step:2220000, var:0.07999984949170375 collision_cnt 4
save model time:1911_180928 step:2260000, var:0.07999984949170375 collision_cnt 5
save model time:1911_180944 step:2300000, var:0.07999984949170375 collision_cnt 5
