save model time:1911_180224 step:240000, var:0.697676074913975 collision_cnt 2
save model time:1911_180239 step:250000, var:0.6838611493516619 collision_cnt 2
save model time:1911_180255 step:260000, var:0.6703197779144778 collision_cnt 2
save model time:1911_180310 step:270000, var:0.6570465438624512 collision_cnt 2
save model time:1911_180326 step:280000, var:0.6440361377143633 collision_cnt 2
save model time:1911_180342 step:290000, var:0.6312833551238789 collision_cnt 2
save model time:1911_180357 step:300000, var:0.6187830947977192 collision_cnt 2
save model time:1911_180413 step:310000, var:0.6065303564550752 collision_cnt 2
save model time:1911_180429 step:320000, var:0.5945202388274372 collision_cnt 2
save model time:1911_180444 step:330000, var:0.582747937698012 collision_cnt 2
save model time:1911_180500 step:340000, var:0.5712087439799555 collision_cnt 2
save model time:1911_180515 step:350000, var:0.5598980418326929 collision_cnt 2
save model time:1911_180530 step:360000, var:0.5488113068155073 collision_cnt 2
save model time:1911_180546 step:370000, var:0.537944104077707 collision_cnt 2
save model time:1911_180602 step:380000, var:0.5272920865845889 collision_cnt 2
save model time:1911_180618 step:390000, var:0.5168509933786043 collision_cnt 2
save model time:1911_180634 step:400000, var:0.5066166478749061 collision_cnt 2
save model time:1911_180650 step:410000, var:0.49658495619065296 collision_cnt 2
save model time:1911_180706 step:420000, var:0.4867519055073801 collision_cnt 2
save model time:1911_180721 step:430000, var:0.4771135624658427 collision_cnt 2
save model time:1911_180737 step:440000, var:0.4676660715925947 collision_cnt 2
save model time:1911_180753 step:450000, var:0.4584056537577648 collision_cnt 2
save model time:1911_180809 step:460000, var:0.44932860466333335 collision_cnt 2
save model time:1911_180825 step:470000, var:0.4404312933613755 collision_cnt 2
save model time:1911_180841 step:480000, var:0.4317101608016146 collision_cnt 2
save model time:1911_180857 step:490000, var:0.42316171840777156 collision_cnt 2
save model time:1911_180913 step:500000, var:0.41478254668206493 collision_cnt 2
save model time:1911_180929 step:510000, var:0.4065692938373803 collision_cnt 2
save model time:1911_180943 step:520000, var:0.39851867445649086 collision_cnt 2
