save model time:1911_182351 step:295000, var:0.6376278646964412 collision_cnt 1
save model time:1911_190003 step:320000, var:0.6065303564550752 collision_cnt 1
save model time:1911_190014 step:345000, var:0.576949493066239 collision_cnt 1
save model time:1911_190026 step:370000, var:0.5488113068155073 collision_cnt 1
save model time:1911_190037 step:395000, var:0.5220454374400038 collision_cnt 1
save model time:1911_190049 step:420000, var:0.49658495619065296 collision_cnt 1
save model time:1911_190100 step:445000, var:0.4723661984752395 collision_cnt 1
save model time:1911_190113 step:470000, var:0.44932860466333335 collision_cnt 1
save model time:1911_190127 step:495000, var:0.42741456865542965 collision_cnt 1
save model time:1911_190140 step:520000, var:0.4065692938373803 collision_cnt 1
save model time:1911_190155 step:545000, var:0.38674065606005115 collision_cnt 1
save model time:1911_190208 step:570000, var:0.3678790733015422 collision_cnt 1
save model time:1911_190221 step:595000, var:0.3499373816860565 collision_cnt 1
save model time:1911_190234 step:620000, var:0.33287071754939995 collision_cnt 1
save model time:1911_190248 step:645000, var:0.31663640525624126 collision_cnt 1
save model time:1911_190303 step:670000, var:0.30119385048855674 collision_cnt 2
save model time:1911_190316 step:695000, var:0.2865044387385254 collision_cnt 2
save model time:1911_190328 step:720000, var:0.27253143875192376 collision_cnt 2
save model time:1911_190341 step:745000, var:0.25923991068067975 collision_cnt 2
save model time:1911_190354 step:770000, var:0.24659661871488162 collision_cnt 2
save model time:1911_190408 step:795000, var:0.23456994797578212 collision_cnt 2
save model time:1911_190420 step:820000, var:0.22312982546195662 collision_cnt 2
save model time:1911_190435 step:845000, var:0.21224764485100842 collision_cnt 2
save model time:1911_190449 step:870000, var:0.2018961949687037 collision_cnt 2
save model time:1911_190502 step:895000, var:0.19204959174672814 collision_cnt 2
save model time:1911_190514 step:920000, var:0.18268321349890962 collision_cnt 2
save model time:1911_190527 step:945000, var:0.17377363935404774 collision_cnt 2
save model time:1911_190541 step:970000, var:0.1652985906914241 collision_cnt 2
save model time:1911_190554 step:995000, var:0.1572368754325395 collision_cnt 2
save model time:1911_190607 step:1020000, var:0.14956833504975645 collision_cnt 2
save model time:1911_190621 step:1045000, var:0.1422737941594015 collision_cnt 2
save model time:1911_190636 step:1070000, var:0.1353350125732031 collision_cnt 2
save model time:1911_190649 step:1095000, var:0.12873463968823684 collision_cnt 2
save model time:1911_190703 step:1120000, var:0.12245617110129696 collision_cnt 2
save model time:1911_190715 step:1145000, var:0.11648390733919989 collision_cnt 2
save model time:1911_190728 step:1170000, var:0.11080291460185661 collision_cnt 2
save model time:1911_190740 step:1195000, var:0.10539898741990948 collision_cnt 2
save model time:1911_190751 step:1220000, var:0.10025861313359509 collision_cnt 2
save model time:1911_190801 step:1245000, var:0.09536893810398496 collision_cnt 2
save model time:1911_190812 step:1270000, var:0.09071773557212548 collision_cnt 2
save model time:1911_190823 step:1295000, var:0.08629337508572267 collision_cnt 2
save model time:1911_190834 step:1320000, var:0.08208479341688024 collision_cnt 2
save model time:1911_190845 step:1345000, var:0.07999984949170375 collision_cnt 2
