save model time:1911_162124 step:81000, var:0.4491491486100748 collision_cnt 0
save model time:1911_162129 step:86000, var:0.427233198057808 collision_cnt 0
save model time:1911_162134 step:91000, var:0.4063866225452039 collision_cnt 0
save model time:1911_162138 step:96000, var:0.3865572425889805 collision_cnt 0
save model time:1911_162143 step:101000, var:0.3676954247709635 collision_cnt 0
save model time:1911_162148 step:106000, var:0.349753957504439 collision_cnt 0
save model time:1911_162153 step:111000, var:0.33268793286240766 collision_cnt 0
save model time:1911_162158 step:116000, var:0.31645463417195824 collision_cnt 0
save model time:1911_162203 step:121000, var:0.3010134290933992 collision_cnt 0
save model time:1911_162208 step:126000, var:0.28632566791652947 collision_cnt 0
save model time:1911_162212 step:131000, var:0.27235458681947705 collision_cnt 0
save model time:1911_162217 step:136000, var:0.25906521584796366 collision_cnt 0
save model time:1911_162222 step:141000, var:0.24642429138466176 collision_cnt 0
save model time:1911_162227 step:146000, var:0.23440017288955545 collision_cnt 0
save model time:1911_162232 step:151000, var:0.22296276370290227 collision_cnt 0
save model time:1911_162237 step:156000, var:0.21208343571256533 collision_cnt 0
save model time:1911_162242 step:161000, var:0.20173495769715546 collision_cnt 0
save model time:1911_162246 step:166000, var:0.19189142716562432 collision_cnt 0
save model time:1911_162251 step:171000, var:0.18252820552270246 collision_cnt 0
save model time:1911_162256 step:176000, var:0.17362185639789907 collision_cnt 0
save model time:1911_162301 step:181000, var:0.1651500869836984 collision_cnt 0
save model time:1911_162306 step:186000, var:0.1570916922361232 collision_cnt 0
save model time:1911_162311 step:191000, var:0.14942650179799613 collision_cnt 0
save model time:1911_162316 step:196000, var:0.14213532951204774 collision_cnt 0
save model time:1911_162321 step:201000, var:0.1351999253974994 collision_cnt 0
save model time:1911_162326 step:206000, var:0.12860292996992018 collision_cnt 0
save model time:1911_162331 step:211000, var:0.12232783079001676 collision_cnt 0
save model time:1911_162336 step:216000, var:0.11635892113259806 collision_cnt 0
save model time:1911_162341 step:221000, var:0.11068126067226178 collision_cnt 0
save model time:1911_162346 step:226000, var:0.10528063808739813 collision_cnt 0
save model time:1911_162351 step:231000, var:0.10014353548890782 collision_cnt 0
save model time:1911_162356 step:236000, var:0.09525709458459826 collision_cnt 0
save model time:1911_170001 step:241000, var:0.09060908449456685 collision_cnt 0
save model time:1911_170006 step:246000, var:0.08618787113701235 collision_cnt 0
save model time:1911_170011 step:251000, var:0.08198238810784661 collision_cnt 0
save model time:1911_170017 step:256000, var:0.07798210898121705 collision_cnt 0
save model time:1911_170022 step:261000, var:0.07417702096160789 collision_cnt 0
save model time:1911_170027 step:266000, var:0.0705575998215706 collision_cnt 0
save model time:1911_170032 step:271000, var:0.06711478606235186 collision_cnt 0
save model time:1911_170037 step:276000, var:0.06383996223774882 collision_cnt 0
save model time:1911_170042 step:281000, var:0.06072493138443261 collision_cnt 0
save model time:1911_170047 step:286000, var:0.05776189650475085 collision_cnt 0
save model time:1911_170052 step:291000, var:0.05494344105065345 collision_cnt 0
save model time:1911_170057 step:296000, var:0.052262510359893384 collision_cnt 0
